"film","rotten_tomatoes","metacritic","critics_choice"
"Toy Story",100,95,NA
"A Bug's Life",92,77,NA
"Toy Story 2",100,88,100
"Monsters, Inc.",96,79,92
"Finding Nemo",99,90,97
"The Incredibles",97,90,88
"Cars",74,73,89
"Ratatouille",96,96,91
"WALL-E",95,95,90
"Up",98,88,95
"Toy Story 3",98,92,97
"Cars 2",40,57,67
"Brave",78,69,81
"Monsters University",80,65,79
"Inside Out",98,94,93
"The Good Dinosaur",76,66,75
"Finding Dory",94,77,89
"Cars 3",69,59,66
"Coco",97,81,89
"Incredibles 2",93,80,86
"Toy Story 4",97,84,94
"Onward",88,61,79
"Soul",96,83,93
"Luca",NA,NA,NA
